Страна,Столица,Картинка
Сенегал,Дакар,dakar.jpg
Сент-Винсент и Гренадины,Кингстаун,kingstown.jpg
Сент-Китс и Невис,Бастер,baster.jpg
Сент-Люсия,Cент-Люсия,st-lucia.jpg
Сербия,Белград,belgrade.jpg
Сейшельские острова,Виктория,victoria.jpg
Сен-Бартелеми,Густавия,gustavia.jpg
Сен-Пьер и Микелон,Сен-Пьер,st-pierre.jpg
Сингапур,Сингапур,singapur.jpg
Синт-Мартен,Филлипсберг,fillipsberg.jpg
Сирия,Дамаск,damascus.jpg
Словакия,Братислава,bratislava.jpg
Словения,Любляна,ljubljana.png
США,Вашингтон,washington.jpg
Соломоновы Острова,Хониара,honoira.jpg
Сомали,Mогадишо,mogadishu.jpg
Судан,Xартум,khartoum.jpg
Суринам,Парамарибо,paramaribo.jpg
Сьерра-Леоне,Фритаун,freetown.jpg
Таджикистан,Душанбе,dushanbe.jpg
Таиланд,Бангкок,bangkok.jpg
Тайвань,Tайбей,taipei.jpg
Танзания,Додома,dodoma.jpg
Того,Ломе,lome.jpg
Тонга,Нукуалофа,nuku-alofa.jpg
Тринидад и Тобаго,Порт-оф-Спейн,port-of-spain.jpg
Тувалу,Фунафути,funafuti.jpg
Тунис,Tуниc,tunis.jpg
Туркмения,Aшхабад,ashgabat.jpg
Турция,Анкара,ankara.jpg
Уганда,Kампала,kampala.jpg
Узбекистан,Tашкент,tashkent.jpg
Украина,Kиев,kiev.jpg
Уругвай,Mонтевидео,montvideo.jpg
Фарерские острова,Tорсхавн,torskhavn.jpg
Фиджи,Сува,suva.jpg
Филиппины,Манила,manila.jpg
Финляндия,Хельсинки,helsinki.jpg
Франция,Париж,paris.png
Хорватия,Загреб,zagreb.jpg
ЦАР,Банги,bangi.jpg
Чад,Нджаменa,ndjamena.jpg
Черногория,Подгорица,podgorica.jpg
Чехия,Прага,praha.jpg
Чили,Сантьяго,santiago.jpg
Швейцария,Берн,bern.jpg
Швеция,Стокгольм,stockholm.jpg
Шри-Ланка,Cоллонгал,solemgal.jpg
Эквадор,Кито,quito.jpg
Экваториальная Гвинея,Малабо,malabo.jpg
Эритрея,Aсмэра,asmara.jpg
Эстония,Tаллин,tallinn.jpg
Эфиопия,Aддис-Aбеба,addis-ababa.png
ЮАР,Претория,pretoria.jpg
Южная Осетия,Цхинвал,tsinkhval.jpg
Южная Корея,Сеул,seoul.jpg
Ямайка,Kингстон,kingston.jpg
Япония,Tокио,tokyo.png
Россия,Москва,moscow.png
