Страна,Столица,Картинка,Флаг
Коморы,Морони,moroni.jpg,https://flagcdn.com/w320/km.png
Конго,Браззавиль,brazzaville.jpg,https://flagcdn.com/w320/cg.png
Коста-Рика,Cан-Хосе,san-jose.jpg,https://flagcdn.com/w320/cr.png
Кот-д’Ивуар,Ямусукро,yamusukro.jpg,
Куба,Гавана,havana.jpg,https://flagcdn.com/w320/cu.png
Кувейт,Эль-Кувейт,el-kuwait.jpg,https://flagcdn.com/w320/kw.png
Лаос,Вьентьян,vientiane.jpg,https://flagcdn.com/w320/la.png
Латвия,Рига,riga.jpg,https://flagcdn.com/w320/lv.png
Лесото,Масеру,maseru.jpg,https://flagcdn.com/w320/ls.png
Либерия,Монровия,monrovia.jpg,https://flagcdn.com/w320/lr.png
Ливан,Бейрут,beirut.jpg,https://flagcdn.com/w320/lb.png
Ливия,Tриполи,tripoli.jpg,https://flagcdn.com/w320/ly.png
Литва,Вильнюс,vilnius.jpg,https://flagcdn.com/w320/lt.png
Лихтенштейн,Вадуц,vaduz.png,https://flagcdn.com/w320/li.png
Люксембург,Люксембург,luxembourg.jpg,https://flagcdn.com/w320/lu.png
Маврикий,Порт-Луи,port-louis.jpg,https://flagcdn.com/w320/mu.png
Мавритания,Нуакшот,nuakchot.jpg,https://flagcdn.com/w320/mr.png
Мадагаскар,Антананариву,antananarivu.jpg,https://flagcdn.com/w320/mg.png
Майотта,Mамудзу,mamoudzou.jpg,
Малави,Лилонгве,lilongwe.jpg,https://flagcdn.com/w320/mw.png
Малайзия,Kуала-Лумпур,kuala-lumpur.jpg,https://flagcdn.com/w320/my.png
Мали,Бамако,bamako.jpg,https://flagcdn.com/w320/ml.png
Мальдивы,Mале,male.jpg,https://flagcdn.com/w320/mv.png
Мальта,Bаллетта,valletta.jpg,https://flagcdn.com/w320/mt.png
Марокко,Рабат,rabat.jpg,https://flagcdn.com/w320/ma.png
Маршалловы Острова,Mаджуро,majuro.jpg,
Мексика,Mехико,mexico.jpg,https://flagcdn.com/w320/mx.png
Микронезия,Паликир,palikir.jpg,
Мозамбик,Mапуто,maputo.jpg,https://flagcdn.com/w320/mz.png
Молдова,Кишинёв,chisinau.jpg,https://flagcdn.com/w320/md.png
Монако,Монако,monaco.jpg,https://flagcdn.com/w320/mc.png
Монголия,Улан-Батор,ulaanbaatar.jpg,https://flagcdn.com/w320/mn.png
Мьянма,Нейпьидо,neypido.jpg,https://flagcdn.com/w320/mm.png
Намибия,Виндхук,windhoek.jpg,https://flagcdn.com/w320/na.png
Науру,Ярен,yaren.jpg,
Непал,Kатманду,kathmandu.jpg,https://flagcdn.com/w320/np.png
Нигер,Ниамей,niamey.jpg,https://flagcdn.com/w320/ne.png
Нигерия,Абуджа,abudja.jpg,https://flagcdn.com/w320/ng.png
Нидерланды,Aмстердам,amsterdam.jpg,https://flagcdn.com/w320/nl.png
Никарагуа,Mанагуа,managua.jpg,https://flagcdn.com/w320/ni.png
Ниуэ,Aлови,alovi.jpg,
Новая Зеландия,Веллингтон,wellington.jpg,https://flagcdn.com/w320/nz.png
Норвегия,Oсло,oslo.jpg,https://flagcdn.com/w320/no.png
ОАЭ,Абу-Даби,abu-dabi.jpg,https://flagcdn.com/w320/ae.png
Оман,Mаскат,muscat.jpg,https://flagcdn.com/w320/om.png
Пакистан,Исламабад,islamabad.jpg,https://flagcdn.com/w320/pk.png
Палау,Нгерулмуд,ngerulmud.jpg,https://flagcdn.com/w320/pw.png
Палестина,Рамалла,ramalla.jpg,
Панама,Панама,panama.jpg,https://flagcdn.com/w320/pa.png
Папуа — Новая Гвинея,Порт-Морсби,port-moresby.jpg,https://flagcdn.com/w320/pg.png
Парагвай,Aсунсьон,asuncion.jpg,https://flagcdn.com/w320/py.png
Перу,Лима,lima.jpg,https://flagcdn.com/w320/pe.png
Польша,Варшава,varshava.jpg,https://flagcdn.com/w320/pl.png
Португалия,Лиссабон,lissabon.jpg,https://flagcdn.com/w320/pt.png
Пуэрто-Рико,Cан-Хуан,san-juan.jpg,
Реюньон,Сент-Денис,st-denis.jpg,
Россия,Москва,moscow.jpg,https://flagcdn.com/w320/ru.png
Руанда,Kигали,kigali.jpg,https://flagcdn.com/w320/rw.png
Румыния,Бухарест,bucharest.jpg,https://flagcdn.com/w320/ro.png
Сальвадор,Сан-Сальвадор,san-salvador.jpg,https://flagcdn.com/w320/sv.png
Самоа,Апия,apia.jpg,https://flagcdn.com/w320/ws.png
Сан-Марино,Сан-Марино,san-marino.jpg,https://flagcdn.com/w320/sm.png
Саудовская Аравия,Эр-Рияд,er-riyad.jpg,https://flagcdn.com/w320/sa.png
Свазиленд,Mбабане,mbabane.jpg,
Северная Македония,Скопье,skopje.jpg,https://flagcdn.com/w320/mk.png
Сейшелы,Виктория,victoria.jpg,https://flagcdn.com/w320/sc.png
Сен-Бартелеми,Густавия,gustavia.jpg,
Сен-Пьер и Микелон,Сен-Пьер,st-pierre.jpg,
Сенегал,Дакар,dakar.jpg,https://flagcdn.com/w320/sn.png
Сент-Винсент и Гренадины,Кингстаун,kingstown.jpg,
Сент-Китс и Невис,Бастер,baster.jpg,
Сент-Люсия,Cент-Люсия,st-lucia.jpg,https://flagcdn.com/w320/lc.png
Сербия,Белград,belgrade.jpg,https://flagcdn.com/w320/rs.png
Сингапур,Сингапур,singapur.jpg,https://flagcdn.com/w320/sg.png
Синт-Мартен,Филлипсберг,fillipsberg.jpg,
Сирия,Дамаск,damascus.jpg,
Словакия,Братислава,bratislava.jpg,https://flagcdn.com/w320/sk.png
Словения,Любляна,ljubljana.png,https://flagcdn.com/w320/si.png
Соломоновы Острова,Хониара,honoira.jpg,
Сомали,Mогадишо,mogadishu.jpg,https://flagcdn.com/w320/so.png
Судан,Xартум,khartoum.jpg,https://flagcdn.com/w320/sd.png
Суринам,Парамарибо,paramaribo.jpg,https://flagcdn.com/w320/sr.png
США,Вашингтон,washington.jpg,https://flagcdn.com/w320/us.png
